,year,position,artist,song
335,2017,35,Niall Horan,Slow Hands
336,2017,36,The Weeknd & Daft Punk,Starboy
337,2017,37,Cardi B,Bodak Yellow (Money Moves)
338,2017,38,"Calvin Harris, Pharrell Williams, Katy Perry & Big Sean",Feels
339,2017,39,"Logic, Alessia Cara & Khalid",1-800-273-8255
340,2017,40,Ed Sheeran,Perfect
341,2017,41,Dua Lipa,New Rules
342,2017,42,Katy Perry & Skip Marley,Chained To The Rhythm
343,2017,43,Childish Gambino,Redbone
344,2017,44,Khalid,Location
345,2017,45,Ed Sheeran,Galway Girl
346,2017,46,Kyle & Lil Yachty,I Spy
347,2017,47,Demi Lovato,Sorry Not Sorry
348,2017,48,J Balvin & Willy William,Mi gente
349,2017,49,Taylor Swift,Look What You Made Me Do
350,2017,50,Sam Smith,Too Good At Goodbyes
351,2017,51,Rihanna,Love On The Brain
352,2017,52,Justin Timberlake,Can't Stop The Feeling
353,2017,53,Alessia Cara,Scars To Your Beautiful
354,2017,54,Rag'n'Bone Man,Human
355,2017,55,Harry Styles,Sign Of The Times
356,2017,56,"Calvin Harris, Frank Ocean & Migos",Slide
357,2017,57,Zayn & Sia,Dusk Till Dawn
358,2017,58,Starley,Call On Me
359,2017,59,Drake,Passionfruit
360,2017,60,Maroon 5 & SZA,What Lovers Do
361,2017,61,Marshmello & Khalid,Silence
362,2017,62,David Guetta & Justin Bieber,2U
363,2017,63,Jonas Blue & William Singe,Mama
364,2017,64,Maroon 5 & Kendrick Lamar,I Don't Wanna Know
365,2017,65,21 Savage,Bank Account
366,2017,66,Jax Jones & RAYE,You Don't Know Me
367,2017,67,Clean Bandit & Zara Larsson,Symphony
368,2017,68,Drake,Fake Love
369,2017,69,DJ Snake & Justin Bieber,Let Me Love You
370,2017,70,Rae Sremmurd & Gucci Mane,Black Beatles
371,2017,71,Miley Cyrus,Malibu
372,2017,72,Maroon 5 & Future,Cold
373,2017,73,Cheat Codes & Demi Lovato,No Promises
374,2017,74,Khalid,Young Dumb & Broke
375,2017,75,Macklemore & Skylar Grey,Glorious
376,2017,76,Big Sean,Bounce Back
377,2017,77,Shawn Mendes,Mercy
378,2017,78,Burak Yeter & Danelle Sandoval,Tuesday
379,2017,79,Martin Garrix & Dua Lipa,Scared To Be Lonely
380,2017,80,Axwell L Ingrosso,More Than You Know
381,2017,81,Robin Schulz & James Blunt,Ok
382,2017,82,Machine Gun Kelly & Camila Cabello,Bad Things
383,2017,83,Ke$ha,Praying
384,2017,84,Yo Gotti & Nicki Minaj,Rake It Up
385,2017,85,Migos,T-Shirt
386,2017,86,J Balvin & Willy William & Beyonce,Mi gente
387,2017,87,Kendrick Lamar,Dna.
388,2017,88,Brett Young,In Case You Didn't Know
389,2017,89,Halsey,Now Or Never
